timestamp,ALT,AZ,CAS,overall
1765905594.0,IN POSN,ERROR,STOPPED,BUSY
1765905594.0,IN POSN,ERROR,STOPPED,BUSY
1765905593.0,IN POSN,ERROR,STOPPED,BUSY
1765905593.0,IN POSN,ERROR,STOPPED,BUSY
1765905593.0,IN POSN,ERROR,STOPPED,BUSY
1765905593.0,IN POSN,ERROR,STOPPED,BUSY
1765905593.0,IN POSN,ERROR,STOPPED,BUSY
1765905592.0,IN POSN,ERROR,STOPPED,BUSY
1765905592.0,IN POSN,ERROR,STOPPED,BUSY
1765905592.0,IN POSN,ERROR,STOPPED,BUSY
1765905592.0,IN POSN,ERROR,STOPPED,BUSY
1765905592.0,IN POSN,ERROR,STOPPED,BUSY
1765905591.0,IN POSN,ERROR,STOPPED,BUSY
1765905591.0,IN POSN,ERROR,STOPPED,BUSY
1765905591.0,IN POSN,ERROR,STOPPED,BUSY
1765905591.0,IN POSN,ERROR,STOPPED,BUSY
1765905591.0,IN POSN,ERROR,STOPPED,BUSY
1765905590.0,IN POSN,ERROR,STOPPED,BUSY
1765905590.0,IN POSN,ERROR,STOPPED,BUSY
1765905590.0,IN POSN,ERROR,STOPPED,BUSY
1765905590.0,IN POSN,ERROR,STOPPED,BUSY
1765905590.0,IN POSN,ERROR,STOPPED,BUSY
1765905590.0,IN POSN,ERROR,STOPPED,BUSY
1765905589.0,IN POSN,ERROR,STOPPED,BUSY
1765905589.0,IN POSN,ERROR,STOPPED,BUSY
1765905589.0,IN POSN,ERROR,STOPPED,BUSY
1765905589.0,IN POSN,ERROR,STOPPED,BUSY
1765905589.0,IN POSN,ERROR,STOPPED,BUSY
1765905588.0,IN POSN,ERROR,STOPPED,BUSY
1765905588.0,IN POSN,ERROR,STOPPED,BUSY
1765905588.0,IN POSN,ERROR,STOPPED,BUSY
1765905588.0,IN POSN,ERROR,STOPPED,BUSY
1765905588.0,IN POSN,ERROR,STOPPED,BUSY
1765905587.0,IN POSN,ERROR,STOPPED,BUSY
1765905587.0,IN POSN,ERROR,STOPPED,BUSY
1765905587.0,IN POSN,ERROR,STOPPED,BUSY
1765905587.0,IN POSN,ERROR,STOPPED,BUSY
1765905587.0,IN POSN,ERROR,STOPPED,BUSY
1765905586.0,IN POSN,ERROR,STOPPED,BUSY
1765905586.0,IN POSN,ERROR,STOPPED,BUSY
1765905586.0,IN POSN,ERROR,STOPPED,BUSY
1765905586.0,IN POSN,ERROR,STOPPED,BUSY
1765905586.0,IN POSN,ERROR,STOPPED,BUSY
1765905585.0,IN POSN,ERROR,STOPPED,BUSY
1765905585.0,IN POSN,ERROR,STOPPED,BUSY
1765905585.0,IN POSN,ERROR,STOPPED,BUSY
1765905585.0,IN POSN,ERROR,STOPPED,BUSY
1765905585.0,IN POSN,ERROR,STOPPED,BUSY
1765905585.0,IN POSN,ERROR,STOPPED,BUSY
1765905584.0,IN POSN,ERROR,STOPPED,BUSY
1765905584.0,IN POSN,ERROR,STOPPED,BUSY
1765905584.0,IN POSN,ERROR,STOPPED,BUSY
1765905584.0,IN POSN,ERROR,STOPPED,BUSY
1765905584.0,IN POSN,ERROR,STOPPED,BUSY
1765905583.0,IN POSN,ERROR,STOPPED,BUSY
1765905583.0,IN POSN,ERROR,STOPPED,BUSY
1765905583.0,IN POSN,ERROR,STOPPED,BUSY
1765905583.0,IN POSN,ERROR,STOPPED,BUSY
1765905583.0,IN POSN,ERROR,STOPPED,BUSY
1765905582.0,IN POSN,ERROR,STOPPED,BUSY
1765905582.0,IN POSN,ERROR,STOPPED,BUSY
1765905582.0,IN POSN,ERROR,STOPPED,BUSY
1765905582.0,IN POSN,ERROR,STOPPED,BUSY
1765905582.0,IN POSN,ERROR,STOPPED,BUSY
1765905581.0,IN POSN,ERROR,STOPPED,BUSY
1765905581.0,IN POSN,ERROR,STOPPED,BUSY
1765905581.0,IN POSN,ERROR,STOPPED,BUSY
1765905581.0,IN POSN,ERROR,STOPPED,BUSY
1765905581.0,IN POSN,ERROR,STOPPED,BUSY
1765905580.0,IN POSN,ERROR,STOPPED,BUSY
1765905580.0,IN POSN,ERROR,STOPPED,BUSY
1765905580.0,IN POSN,ERROR,STOPPED,BUSY
1765905580.0,IN POSN,ERROR,STOPPED,BUSY
1765905580.0,IN POSN,ERROR,STOPPED,BUSY
1765905580.0,IN POSN,ERROR,STOPPED,BUSY
1765905579.0,IN POSN,ERROR,STOPPED,BUSY
1765905579.0,IN POSN,ERROR,STOPPED,BUSY
1765905579.0,IN POSN,ERROR,STOPPED,BUSY
1765905579.0,IN POSN,ERROR,STOPPED,BUSY
1765905579.0,IN POSN,ERROR,STOPPED,BUSY
1765905578.0,IN POSN,ERROR,STOPPED,BUSY
1765905578.0,IN POSN,ERROR,STOPPED,BUSY
1765905578.0,IN POSN,ERROR,STOPPED,BUSY
1765905578.0,IN POSN,ERROR,STOPPED,BUSY
1765905578.0,IN POSN,ERROR,STOPPED,BUSY
1765905577.0,IN POSN,ERROR,STOPPED,BUSY
1765905577.0,IN POSN,ERROR,STOPPED,BUSY
1765905577.0,IN POSN,ERROR,STOPPED,BUSY
1765905577.0,IN POSN,ERROR,STOPPED,BUSY
1765905577.0,IN POSN,ERROR,STOPPED,BUSY
1765905576.0,IN POSN,ERROR,STOPPED,BUSY
1765905576.0,IN POSN,ERROR,STOPPED,BUSY
1765905576.0,IN POSN,ERROR,STOPPED,BUSY
1765905576.0,IN POSN,ERROR,STOPPED,BUSY
1765905576.0,IN POSN,ERROR,STOPPED,BUSY
1765905575.0,IN POSN,ERROR,STOPPED,BUSY
1765905575.0,IN POSN,ERROR,STOPPED,BUSY
1765905575.0,IN POSN,ERROR,STOPPED,BUSY
1765905575.0,IN POSN,ERROR,STOPPED,BUSY
1765905575.0,IN POSN,ERROR,STOPPED,BUSY
1765905575.0,IN POSN,IN POSN,STOPPED,BUSY
1765905574.0,IN POSN,IN POSN,STOPPED,BUSY
1765905574.0,IN POSN,IN POSN,STOPPED,BUSY
1765905574.0,IN POSN,IN POSN,STOPPED,BUSY
1765905574.0,IN POSN,IN POSN,STOPPED,BUSY
1765905574.0,IN POSN,IN POSN,STOPPED,BUSY
1765905573.0,IN POSN,IN POSN,STOPPED,BUSY
1765905573.0,IN POSN,IN POSN,STOPPED,BUSY
1765905573.0,IN POSN,IN POSN,STOPPED,BUSY
1765905573.0,IN POSN,IN POSN,STOPPED,BUSY
1765905573.0,IN POSN,IN POSN,STOPPED,BUSY
1765905572.0,IN POSN,IN POSN,STOPPED,BUSY
1765905572.0,IN POSN,IN POSN,STOPPED,BUSY
1765905572.0,IN POSN,IN POSN,STOPPED,BUSY
1765905572.0,IN POSN,IN POSN,STOPPED,BUSY
1765905572.0,IN POSN,IN POSN,STOPPED,BUSY
1765905571.0,IN POSN,IN POSN,STOPPED,BUSY
1765905571.0,IN POSN,IN POSN,STOPPED,BUSY
1765905571.0,IN POSN,IN POSN,STOPPED,BUSY
1765905571.0,IN POSN,IN POSN,STOPPED,BUSY
1765905571.0,IN POSN,IN POSN,STOPPED,BUSY
1765905570.0,IN POSN,IN POSN,STOPPED,BUSY
1765905570.0,IN POSN,IN POSN,STOPPED,BUSY
1765905570.0,IN POSN,IN POSN,STOPPED,BUSY
1765905570.0,IN POSN,IN POSN,STOPPED,BUSY
1765905570.0,IN POSN,IN POSN,STOPPED,BUSY
1765905570.0,IN POSN,IN POSN,STOPPED,BUSY
1765905569.0,IN POSN,IN POSN,STOPPED,BUSY
1765905569.0,IN POSN,IN POSN,STOPPED,BUSY
1765905569.0,IN POSN,IN POSN,STOPPED,BUSY
